,number,value,datetime_start,datetime_complete,duration,params_Ve,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
123,123,47.462459564208984,2021-07-02 15:51:42.563937,2021-07-02 15:52:32.532677,0 days 00:00:49.968740000,7.555278202448524,256,10000,0.95,1000,0.007481829190807517,medium,100,PRUNED
124,124,310.15716552734375,2021-07-02 15:51:44.981502,2021-07-02 15:54:37.290762,0 days 00:02:52.309260000,8.076197286210883,256,10000,0.95,1000,0.0006504106516379504,medium,50,COMPLETE
125,125,-256.4385681152344,2021-07-02 15:52:05.032991,2021-07-02 15:53:46.386149,0 days 00:01:41.353158000,7.556130969549531,256,10000,0.95,1000,8.866347667975945e-05,medium,100,PRUNED
126,126,0.270629346370697,2021-07-02 15:52:32.533793,2021-07-02 15:52:39.607640,0 days 00:00:07.073847000,6.83043410918173,256,10000,0.99,20000,0.0006972757408170268,medium,5,PRUNED
127,127,0.270629346370697,2021-07-02 15:52:39.608254,2021-07-02 15:52:48.821564,0 days 00:00:09.213310000,10.341715001800173,256,10000,0.95,10000,8.882901420914818e-05,medium,4,PRUNED
128,128,0.270629346370697,2021-07-02 15:52:48.822143,2021-07-02 15:53:36.676277,0 days 00:00:47.854134000,8.304767371990035,256,10000,0.99,1000,0.011115334129561644,medium,10,PRUNED
129,129,100.01692199707031,2021-07-02 15:53:36.677436,2021-07-02 15:54:26.128000,0 days 00:00:49.450564000,8.053093722237689,256,10000,0.95,1000,0.00234301558479992,medium,50,PRUNED
130,130,-6.953433036804199,2021-07-02 15:53:46.387179,2021-07-02 15:54:00.776433,0 days 00:00:14.389254000,9.279824224297313,64,10000,0.98,5000,0.0166653443901181,medium,50,PRUNED
131,131,236.3556671142578,2021-07-02 15:54:00.777500,2021-07-02 15:54:53.388234,0 days 00:00:52.610734000,8.55710683458528,256,50000,0.95,1000,0.0024462364399325622,medium,500,PRUNED
132,132,0.270629346370697,2021-07-02 15:54:26.129134,2021-07-02 15:54:33.378658,0 days 00:00:07.249524000,11.737599677632927,256,100000,0.995,10000,0.00023932130092961792,medium,4,PRUNED
133,133,322.223388671875,2021-07-02 15:54:33.379432,2021-07-02 15:56:03.490132,0 days 00:01:30.110700000,10.233651939107167,256,10000,0.9,1000,5.680045763547524e-05,medium,10,PRUNED
134,134,-241.6299591064453,2021-07-02 15:54:37.291896,2021-07-02 15:55:18.733601,0 days 00:00:41.441705000,10.50439123232756,256,10000,0.9,1000,0.0001198171022061513,medium,10,PRUNED
135,135,477.8268127441406,2021-07-02 15:54:53.389170,2021-07-02 15:57:22.025172,0 days 00:02:28.636002000,9.512181972075345,256,10000,0.9,1000,0.00010687276783093978,medium,10,COMPLETE
136,136,95.53935241699219,2021-07-02 15:55:18.734388,2021-07-02 15:55:57.010181,0 days 00:00:38.275793000,10.2227157796127,256,10000,0.9,1000,5.1406371560274283e-05,medium,10,PRUNED
